,Token,Freq
0,3m,730
1,a_o_smith,53
2,abbott,593
3,abbvie,123
4,accenture,313
5,activision,1078
6,acuity_brands,5
7,adobe,4447
8,advance_auto_parts,65
9,amd,5095
10,aes,364
11,aetna,497
12,amg,177
13,aflac,134
14,agilent,177
15,air_products,73
16,akamai,236
17,alaska_air,86
18,albemarle,148
19,alexandria_real_estate,3
20,alexion,87
21,align_technology,27
22,allegion,28
23,allergan,363
24,alliance_data,59
25,alliant_energy,45
26,allstate,570
27,google,17909
28,altria,229
29,amazon,7600
30,ameren,137
31,american_airlines,1621
32,american_electric_power,65
33,american_express,1722
34,aig,1544
35,american_tower,27
36,american_water,68
37,ameriprise,281
38,amerisourcebergen,40
39,ametek,20
40,amgen,262
41,amphenol,64
42,anadarko,169
43,analog_devices,119
44,andeavor,33
45,ansys,198
46,anthem,1192
47,aon,371
48,apache,1198
49,aimco,76
50,apple,20177
51,applied_materials,63
52,aptiv,30
53,adm,177
54,arconic,26
55,arthur_j_gallagher,40
56,assurant,48
57,at&t,6252
58,autodesk,812
59,adp,203
60,autozone,117
61,avalonbay,7
62,avery_dennison,47
63,baker_hughes,204
64,ball_corporation,48
65,bank_of_america,2211
66,baxter,519
67,bb&t,145
68,becton_dickinson,38
69,berkshire_hathaway,650
70,best_buy,715
71,biogen,160
72,blackrock,339
73,h&r_block,329
74,boeing,12752
75,borgwarner,106
76,boston_properties,49
77,boston_scientific,102
78,brighthouse_financial,18
79,bristol_myers_squibb,238
80,broadcom,487
81,brown_forman,76
82,c_h_robinson,71
83,ca_technologies,95
84,cabot_oil,10
85,cadence,248
86,campbell_soup,129
87,capital_one,277
88,cardinal_health,95
89,carmax,54
90,carnival,1793
91,caterpillar,1669
92,cboe,86
93,cbre,58
94,cbs,8521
95,celgene,126
96,centene,52
97,centerpoint,99
98,centurylink,592
99,cerner,70
100,cf_industries,16
101,charles_schwab,85
102,charter_communications,291
103,chesapeake_energy,55
104,chevron,1508
105,chipotle,567
106,chubb,171
107,church_&_dwight,62
108,cigna,333
109,cimarex,6
110,cincinnati_financial,6
111,cintas,29
112,cisco,2386
113,citigroup,1833
114,citizens_financial,75
115,citrix,874
116,cme_group,110
117,cms_energy,24
118,coca_cola,3593
119,cognizant,105
120,colgate_palmolive,203
121,comcast,3132
122,comerica,174
123,conagra,491
124,concho,26
125,conocophillips,343
126,con_edison,165
127,constellation_brands,56
128,corning,797
129,costco,871
130,coty,220
131,crown_castle,23
132,csra,20
133,csx,1009
134,cummins,600
135,cvs,1006
136,d_r_horton,17
137,danaher,181
138,darden,177
139,davita,87
140,deere,840
141,delta_air,1176
142,dentsply_sirona,8
143,devon,363
144,digital_realty,14
145,discover,1451
146,discovery,6368
147,dish_network,1013
148,dollar_general,231
149,dollar_tree,193
150,dominion_energy,28
151,dover,798
152,dowdupont,33
153,pepper_snapple,59
154,dte_energy,65
155,duke_energy,319
156,duke_realty,17
157,dxc,71
158,e_trade,209
159,eastman,742
160,eaton,687
161,ebay,1791
162,ecolab,107
163,edison_international,21
164,edwards_lifesciences,13
165,electronic_arts,1118
166,emerson,619
167,entergy,202
168,envision,98
169,eog,42
170,eqt,48
171,equifax,345
172,equinix,92
173,equity_residential,15
174,essex_property,5
175,estee_lauder,41
176,everest_re,9
177,eversource,126
178,exelon,379
179,expedia,280
180,expeditors,20
181,express_scripts,167
182,extra_space_storage,23
183,exxon,1079
184,f5_networks,26
185,facebook,8621
186,fastenal,52
187,federal_realty,12
188,fedex,1366
189,fis,178
190,fifth_third_bank,57
191,firstenergy,169
192,fiserv,60
193,flir,148
194,flowserve,27
195,fluor,200
196,fmc,192
197,foot_locker,136
198,ford,24633
199,fortive,45
200,fortune_brands,40
201,franklin_resources,15
202,freeport_mcmoran,97
203,gap_inc,99
204,garmin,342
205,gartner,484
206,general_dynamics,859
207,general_electric,2157
208,brookfield_properties,32
209,general_mills,609
210,general_motors,3353
211,genuine_parts,23
212,gilead_sciences,77
213,global_payments,39
214,goldman_sachs,1582
215,goodyear,948
216,grainger,119
217,halliburton,477
218,hanesbrands,64
219,harley_davidson,978
220,harris_corporation,65
221,hartford_financial,11
222,hasbro,1542
223,hca,134
224,hcp,27
225,helmerich_&_payne,11
226,henry_schein,43
227,hess_corporation,47
228,hewlett_packard,1001
229,hilton,1357
230,hologic,23
231,home_depot,1030
232,honeywell,1127
233,hormel,433
234,host_hotels,14
235,hp,11047
236,humana,229
237,huntington_bancshares,46
238,huntington_ingalls,56
239,idexx,27
240,ihs_markit,28
241,illinois_tool,32
242,illumina,120
243,incyte,20
244,ingersoll_rand,125
245,intel,12995
246,intercontinental_exchange,75
247,ibm,10967
248,international_paper,112
249,interpublic_group,78
250,international_flavors,21
251,intuit,437
252,intuitive_surgical,25
253,invesco,82
254,iqvia,9
255,iron_mountain,122
256,j_b_hunt,32
257,jacobs_engineering,46
258,j_m_smucker,72
259,johnson_&_johnson,767
260,johnson_controls,169
261,jpmorgan,1313
262,juniper,774
263,kansas_city_southern,122
264,kellogg,1409
265,keybank,92
266,kimberly_clark,220
267,kimco,28
268,kinder_morgan,220
269,kla_tencor,28
270,kohl,481
271,kraft_heinz,75
272,kroger,998
273,l_brands,38
274,l_3_communications,87
275,labcorp,61
276,lam_research,35
277,leggett_&_platt,29
278,lennar,114
279,jefferies_financial,9
280,eli_lilly,526
281,lincoln_national,44
282,lkq,13
283,lockheed_martin,1138
284,loews,215
285,lowe,893
286,lyondellbasell,70
287,m&t,111
288,macerich,151
289,macy,1797
290,marathon_oil,88
291,marathon_petroleum,57
292,marriott,1029
293,marsh_&_mclennan,84
294,martin_marietta,105
295,masco,75
296,mastercard,1662
297,mattel,1386
298,mccormick,456
299,mcdonald,4051
300,mckesson,157
301,medtronic,210
302,merck,1617
303,metlife,747
304,mettler_toledo,27
305,mgm_resorts,183
306,michael_kors,136
307,microchip,589
308,micron,315
309,microsoft,13573
310,mid_america_apartment,7
311,mohawk,482
312,molson_coors,216
313,mondelez,165
314,monsanto,798
315,monster_beverage,55
316,moody,1209
317,morgan_stanley,986
318,motorola,1709
319,mylan,314
320,nasdaq,2070
321,national_oilwell,15
322,navient,38
323,netapp,420
324,netflix,3112
325,newell_brands,86
326,newfield_exploration,7
327,newmont,311
328,news_corp,571
329,nextera,97
330,nielsen,1717
331,nike,2328
332,nisource,54
333,noble_energy,40
334,nordstrom,638
335,norfolk_southern,1195
336,northern_trust,62
337,northrop_grumman,807
338,norwegian_cruise,227
339,nrg,252
340,nucor,98
341,nvidia,2439
342,o_reilly,363
343,occidental_petroleum,88
344,omnicom,211
345,oneok,73
346,oracle,3733
347,paccar,135
348,packaging_corporation,13
349,parker_hannifin,49
350,patterson_companies,3
351,paychex,60
352,paypal,984
353,pentair,45
354,people_s_united,15
355,pepsi,1288
356,perkinelmer,107
357,perrigo,54
358,pfizer,1323
359,pg&e,575
360,philip_morris,565
361,phillips_66,178
362,pinnacle_west,9
363,pioneer_natural,16
364,pnc,959
365,ralph_lauren,393
366,ppg,500
367,ppl,148
368,praxair,29
369,priceline,122
370,principal_financial,42
371,procter_&_gamble,857
372,progressive,2480
373,prologis,121
374,prudential,694
375,pse&g,53
376,public_storage,63
377,pulte,24
378,pvh,107
379,qorvo,16
380,qualcomm,1001
381,quanta_services,23
382,quest_diagnostics,30
383,range_resources,14
384,raymond_james,102
385,raytheon,973
386,realty_income,7
387,red_hat,1271
388,regency_centers,10
389,regeneron,76
390,regions_financial,42
391,republic_services,154
392,resmed,8
393,robert_half,30
394,rockwell_automation,58
395,rockwell_collins,184
396,roper_technologies,8
397,ross_stores,27
398,royal_caribbean,423
399,s&p,1471
400,salesforce,399
401,sba_communications,5
402,scana,48
403,schlumberger,405
404,scripps_networks,89
405,seagate,673
406,sealed_air,58
407,sempra,80
408,sherwin_williams,82
409,signet_jewelers,0
410,simon_property,239
411,skyworks,34
412,sl_green,27
413,snap_on,74
414,southern_company,169
415,southwest_airlines,682
416,stanley_black,88
417,starbucks,2346
418,state_street,471
419,stericycle,32
420,stryker,307
421,suntrust,289
422,symantec,978
423,synchrony,83
424,synopsys,342
425,sysco,73
426,t_rowe_price,78
427,tapestry,95
428,target_corporation,250
429,te_connectivity,32
430,technipfmc,20
431,texas_instruments,857
432,textron,385
433,bny_mellon,217
434,clorox,224
435,copper_companies,1
436,hershey,1984
437,mosaic_company,14
438,travelers_companies,69
439,walt_disney,3764
440,thermo_fisher,64
441,tiffany_&,249
442,time_warner,2032
443,tjx,155
444,torchmark,46
445,tsys,40
446,tractor_supply,20
447,transdigm,26
448,tripadvisor,182
449,21st_century_fox,584
450,tyson_foods,144
451,u_s_bancorp,384
452,udr,10
453,ulta_salon,6
454,under_armour,260
455,union_pacific,2054
456,united_continental,71
457,united_health,30
458,ups,2415
459,united_rentals,48
460,united_technologies,220
461,universal_health_services,30
462,unum_group,4
463,vf_corporation,79
464,valero,330
465,varian,338
466,ventas,46
467,verisign,328
468,verisk_analytics,13
469,verizon,3255
470,vertex,434
471,viacom,2302
472,visa,2702
473,vornado_realty,53
474,vulcan_materials,14
475,walmart,4205
476,walgreens_boots_alliance,82
477,waste_management,496
478,waters_corporation,10
479,wec_energy,14
480,wells_fargo,1706
481,welltower,24
482,western_digital,228
483,western_union,489
484,westrock,16
485,weyerhaeuser,138
486,whirlpool,388
487,williams_companies,37
488,willis_towers_watson,12
489,wyndham_worldwide,46
490,wynn_resorts,98
491,xcel,166
492,xerox,1455
493,xilinx,305
494,xl_capital,6
495,xylem,176
496,yum_brands,119
497,zimmer_biomet,14
498,zions,151
499,zoetis,45
